id,countryName,continent,population,IMF_GDP,UN_GDP,IMF_GDP_per_capita,UN_GDP_per_capita
36,Australia,Oceania,2.64E+07,1.83E+12,1.30E+12,6.92E+07,4.93E+07
184,Cook Islands,Oceania,17040,0,2.90E+08,0,1.70E+07
242,Fiji,Oceania,936380,5.73E+09,4.67E+09,6123582.306,4988485.833
258,French Polynesia,Oceania,308870,0,5.42E+09,0,1.75E+07
296,Kiribati,Oceania,133520,2.33E+08,1.74E+08,1745056.92,1300592.765
584,Marshall Islands,Oceania,42000,2.84E+08,1.83E+08,6761904.762,4357142.857
583,Micronesia,Oceania,115220,4.52E+08,3.30E+08,3922930.047,2863180.377
520,Nauru,Oceania,12780,1.38E+08,1.03E+08,1.08E+07,8096230.36
540,New Caledonia,Oceania,292990,0,9.45E+09,0,3.22E+07
554,New Zealand,Oceania,5228100,2.77E+11,1.88E+11,5.29E+07,3.59E+07
585,Palau,Oceania,18060,2.96E+08,3.10E+08,1.64E+07,1.72E+07
598,Papua New Guinea,Oceania,1.03E+07,3.23E+10,1.97E+10,3130127.697,1906510.086
882,Samoa,Oceania,225680,8.68E+08,8.22E+08,3846153.846,3643359.097
90,Solomon Islands,Oceania,740420,1.78E+09,1.13E+09,2408092.704,1531518.888
776,Tonga,Oceania,107770,5.74E+08,4.01E+08,5326157.558,3725158.328
798,Tuvalu,Oceania,11400,7.10E+07,3.67E+07,6228070.175,3219051.316
548,Vanuatu,Oceania,334510,1.07E+09,8.38E+08,3201698.006,2503721.234
