id,countryName,continent,population,IMF_GDP,UN_GDP,IMF_GDP_per_capita,UN_GDP_per_capita
834,Tanzania,Africa,6.743811E7,8.6152E10,0.0,1277497.2489590826,0.0
706,Somalia,Africa,1.814338E7,9.185E9,1.318057519E9,506245.2530895566,72646.74603078367
108,Burundi,Africa,1.323856E7,3.686E9,2.873699606E9,278429.0738569754,217070.40690226128
454,Malawi,Africa,2.093175E7,1.1325E10,5.318197658E9,541044.1076355297,254073.24557191826
562,Niger,Africa,2.720284E7,1.7303E10,7.528285819E9,636073.2923474166,276746.31836234743
140,Central African Republic,Africa,5742320.0,2.877E9,1.81038874E9,501017.01054626005,315271.3084606919
508,Mozambique,Africa,3.389735E7,1.9519E10,1.0930131568E10,575826.7239179465,322447.9662274485
270,Gambia,Africa,2773170.0,2.341E9,9.85831536E8,844160.2930941846,355489.0381765272
450,Madagascar,Africa,3.032573E7,1.5189E10,1.1222263845E10,500861.8094271762,370057.5005119415
180,DR Congo,Africa,1.0226281E8,7.1487E10,4.0337492609E10,699051.7862749909,394449.28815275076
694,Sierra Leone,Africa,8791090.0,4.266E9,3.674756785E9,485264.057130572,418009.2326435061
768,Togo,Africa,9053800.0,9.539E9,4.449262345E9,1053590.7574720008,491424.8542048643
854,Burkina Faso,Africa,2.325149E7,2.128E10,1.1695117109E10,915210.1650259832,502983.5554194591
430,Liberia,Africa,5418380.0,4.064E9,2.756817825E9,750039.67975668,508790.04887069564
800,Uganda,Africa,4.858233E7,5.01E10,2.5307842467E10,1031239.1357104527,520926.89805120503
624,Guinea-Bissau,Africa,2150840.0,1.802E9,1.122643236E9,837812.2036041731,521955.71776608203
231,Ethiopia,Africa,1.2652706E8,1.16247E11,7.0314560872E10,918752.0835463972,555727.4536529973
728,South Sudan,Africa,1.10888E7,1.0771E10,6.534451826E9,971340.4516268668,589283.9465045813
324,Guinea,Africa,1.419061E7,2.2945E10,8.476136811E9,1616914.2834592734,597306.0221512676
466,Mali,Africa,2.32937E7,2.1191E10,1.4001696748E10,909730.9572974667,601093.7183873751
646,Rwanda,Africa,1.409468E7,1.317E10,8.473784827E9,934395.1051034859,601204.4847417607
148,Chad,Africa,1.827857E7,1.3517E10,1.1267295771E10,739499.8624071795,616421.0751169266
204,Benin,Africa,1.371283E7,2.0029E10,8.893638002E9,1460602.9535843441,648563.2799356515
686,Senegal,Africa,1.776316E7,3.2107E10,1.4604520531E10,1807504.9709623738,822180.3176349254
478,Mauritania,Africa,4862990.0,9.705E9,4.66711932E9,1995685.7817926833,959722.1709277626
426,Lesotho,Africa,2330320.0,2.716E9,2.241017076E9,1165505.1666723883,961677.8279377939
716,Zimbabwe,Africa,1.666541E7,3.4654E10,1.6123763648E10,2079396.7865177034,967498.7682871289
894,Zambia,Africa,2.056974E7,2.7709E10,2.1063063977E10,1347075.8502538193,1023982.9952639167
120,Cameroon,Africa,2.864729E7,4.9518E10,3.2217073816E10,1728540.4657822782,1124611.5711468693
288,Ghana,Africa,3.412199E7,7.8893E10,4.2793869465E10,2312086.721788501,1254143.426716906
384,Ivory Coast,Africa,2.887303E7,8.0338E10,3.6767790205E10,2782458.2317823935,1273430.2636404978
178,Republic of the Congo,Africa,6106870.0,1.5641E10,7.778081883E9,2561213.846045519,1273660.9561035358
404,Kenya,Africa,5.510059E7,1.19127E11,7.0525979046E10,2161991.3688764498,1279949.6166193502
174,Comoros,Africa,852080.0,1.386E9,1.149802573E9,1626607.8302506807,1349406.8315181672
232,Eritrea,Africa,3748900.0,2.777E9,5.413804303E9,740750.62018192,1444104.7515271145
678,Sao Tome and Principe,Africa,231860.0,5.69E8,3.42781695E8,2454067.1094626067,1478399.4436297766
262,Djibouti,Africa,1136460.0,4.199E9,1.891520369E9,3694806.6803935026,1664396.7838727275
729,Sudan,Africa,4.810901E7,0.0,8.2887395895E10,0.0,1722907.9520655277
566,Nigeria,Africa,2.2380463E8,5.80121E11,4.04649E11,2592086.6784570096,1808045.7048632104
818,Egypt,Africa,1.127166E8,4.50361E11,2.70144E11,3995516.188387513,2396665.619793358
132,Cape Verde,Africa,598680.0,2.178E9,1.638928099E9,3638003.6079374626,2737569.484532639
504,Morocco,Africa,3.784004E7,1.42967E11,1.03607E11,3778193.680556363,2738025.64690735
24,Angola,Africa,3.66842E7,1.33335E11,1.06918E11,3634671.0572944214,2914551.768881426
748,Eswatini,Africa,1210820.0,4.945E9,4.007002048E9,4084009.183858873,3309329.254554765
788,Tunisia,Africa,1.245822E7,0.0,4.1703561397E10,0.0,3347473.5072105005
12,Algeria,Africa,4.560648E7,1.99382E11,1.59049E11,4371791.0261875065,3487421.08577553
516,Namibia,Africa,2604170.0,1.4205E10,1.0947277246E10,5454713.017967337,4203749.081665175
710,South Africa,Africa,6.04145E7,4.4772E11,2.9544E11,7410803.697787783,4890216.752600783
266,Gabon,Africa,2436570.0,2.2472E10,1.3863183526E10,9222800.904550249,5689630.721054597
72,Botswana,Africa,2675350.0,1.9821E10,1.5566057294E10,7408750.256975723,5818325.562636664
226,Equatorial Guinea,Africa,1714670.0,1.4956E10,1.0677940568E10,8722378.066916665,6227402.68856398
434,Libya,Africa,6888390.0,4.5195E10,4.2959534586E10,6561039.662388453,6236513.116417624
480,Mauritius,Africa,1300560.0,1.2538E10,1.2216235024E10,9640462.569969859,9393057.624407947
690,Seychelles,Africa,107660.0,1.804E9,1.433826317E9,1.6756455508080997E7,1.3318096944083225E7
158,Taiwan,Asia,2.392328E7,8.92516E11,0.0,3.73074260720102E7,0.0
4,Afghanistan,Asia,4.223985E7,0.0,2.023506333E10,0.0,479051.49592150544
408,North Korea,Asia,2.616082E7,0.0,1.6788601831E10,0.0,641746.0091465022
524,Nepal,Asia,3.089659E7,3.9028E10,2.0914004957E10,1263181.4708354548,676903.339721309
762,Tajikistan,Asia,1.014354E7,7.699E9,6.951679338E9,759005.2388022327,685330.696975612
887,Yemen,Asia,3.444983E7,2.9556E10,2.5374086438E10,857943.2757723333,736551.8621717436
760,Syria,Asia,2.322701E7,0.0,2.2163075121E10,0.0,954194.0663477564
417,Kyrgyzstan,Asia,6735350.0,9.511E9,6.55129114E9,1412101.8209892581,972672.7104010927
586,Pakistan,Asia,2.4048566E8,0.0,2.82506E11,0.0,1174731.1669228012
116,Cambodia,Asia,1.694483E7,3.0239E10,2.0016747858E10,1784556.1153460965,1181289.3878545845
104,Myanmar,Asia,5.4578E7,7.3543E10,6.5697616068E10,1347484.3343471729,1203738.064201693
50,Bangladesh,Asia,1.7295432E8,4.38436E11,2.20837E11,2534981.491066543,1276851.5987342785
356,India,Asia,1.42862766E9,3.89367E12,2.25964E12,2725461.720375763,1581685.7416858359
860,Uzbekistan,Asia,3.516394E7,8.1809E10,6.7778902435E10,2326502.6615333776,1927511.6052126125
626,Timor-Leste,Asia,1360600.0,2.035E9,2.703285752E9,1495663.6777892108,1986833.5675437308
418,Laos,Asia,7633780.0,1.7996E10,1.580570709E10,2357416.6402489985,2070495.4937134683
704,Vietnam,Asia,9.885895E7,4.62644E11,2.05276E11,4679839.306405743,2076453.3711919861
275,Palestine,Asia,5371230.0,0.0,1.33971E10,0.0,2494233.164470708
608,Philippines,Asia,1.1733737E8,4.45827E11,3.04906E11,3799531.214991439,2598541.2831393783
64,Bhutan,Asia,787420.0,2.881E9,2.212642587E9,3658784.384445404,2809990.331716238
496,Mongolia,Asia,3447160.0,2.1047E10,1.1160356685E10,6105605.774028476,3237551.110189257
360,Indonesia,Asia,2.7753412E8,1.41075E12,9.32259E11,5083158.78422444,3359078.8764999416
400,Jordan,Asia,1.133705E7,5.0461E10,3.8654647887E10,4450981.516355666,3409586.081652635
368,Iraq,Asia,4.550456E7,2.99409E11,1.60021E11,6579758.160500838,3516592.622805275
144,Sri Lanka,Asia,2.189358E7,8.7121E10,8.1321970966E10,3979294.3867563,3714420.8926087003
364,Iran,Asia,8.917277E7,1.7826E12,4.25403E11,1.999040738557297E7,4770548.229016548
795,Turkmenistan,Asia,6516100.0,8.4893E10,3.6179885714E10,1.3028191709765043E7,5552383.437025215
764,Thailand,Asia,7.180128E7,5.56372E11,4.07026E11,7748775.509294542,5668784.734756818
156,China,Asia,1.42567135E9,2.18655E13,1.12183E13,1.5336984922927713E7,7868784.064433924
462,Maldives,Asia,521020.0,6.109E9,4.224207488E9,1.1725077732140802E7,8107572.622931941
458,Malaysia,Asia,3.430853E7,4.81988E11,2.96531E11,1.4048634552398486E7,8643069.230888063
422,Lebanon,Asia,5353930.0,0.0,5.0457653265E10,0.0,9424414.078069754
512,Oman,Asia,4644380.0,1.1025E11,6.3170959402E10,2.3738367661560852E7,1.3601591472274017E7
682,Saudi Arabia,Asia,3.694703E7,1.02191E12,6.39617E11,2.7658786105405495E7,1.7311729792624738E7
48,Bahrain,Asia,1485510.0,4.5421E10,3.2179073596E10,3.0576031127356935E7,2.166197036438664E7
96,Brunei,Asia,452520.0,2.7708E10,1.1400266878E10,6.123044285335455E7,2.5192846455405287E7
414,Kuwait,Asia,4310110.0,1.80665E11,1.10346E11,4.191656361438572E7,2.5601666778806113E7
410,South Korea,Asia,5.178406E7,1.91956E12,1.41125E12,3.706854966566932E7,2.725259471737056E7
376,Israel,Asia,9174520.0,5.47765E11,3.17748E11,5.970503088989942E7,3.463374650662923E7
784,United Arab Emirates,Asia,9516870.0,5.06234E11,3.48744E11,5.319332931940858E7,3.664482124900308E7
392,Japan,Asia,1.2329451E8,5.29135E12,4.93621E12,4.291634720799815E7,4.0035926984907925E7
344,Hong Kong,Asia,7491610.0,3.91338E11,3.20912E11,5.2236835606765434E7,4.2836186080161676E7
702,Singapore,Asia,6014720.0,4.50999E11,2.96946E11,7.498254282826133E7,4.9369879229623325E7
634,Qatar,Asia,2716390.0,2.28356E11,1.52452E11,8.406598463401794E7,5.61230162090127E7
446,Macau,Asia,704150.0,4.4856E10,4.5311080521E10,6.370233614996805E7,6.434861964212171E7
498,Moldova,Europe,3435930.0,1.3752E10,6.772647958E9,4002409.827906855,1971125.1271126014
804,Ukraine,Europe,3.674463E7,0.0,9.3270354852E10,0.0,2538339.747930514
31,Azerbaijan,Europe,1.041265E7,7.2912E10,3.7847204069E10,7002252.068397574,3634733.1437242203
51,Armenia,Europe,2777970.0,1.5842E10,1.0572299425E10,5702725.3714042995,3805764.4341011606
268,Georgia,Europe,3728280.0,2.33E10,1.4332728707E10,6249530.614653406,3844327.332442842
412,Kosovo,Europe,1663590.0,0.0,6.714465857E9,0.0,4036130.21056871
8,Albania,Europe,2832440.0,1.9062E10,1.1863866791E10,6729886.59953962,4188567.733473613
112,Belarus,Europe,9498240.0,6.0188E10,4.7408111179E10,6336752.914224109,4991252.187668452
807,North Macedonia,Europe,2085679.9999999998,1.5546E10,1.0745782586E10,7453684.170150743,5152172.234475087
70,Bosnia and Herzegovina,Europe,3210850.0,2.4971E10,1.6909904149E10,7777068.377532429,5266488.359468677
688,Serbia,Europe,7149080.0,7.2587E10,3.8299871897E10,1.0153334415057601E7,5357314.772949806
398,Kazakhstan,Europe,1.960663E7,2.25928E11,1.35005E11,1.1523040930542372E7,6885681.017084527
499,Montenegro,Europe,626490.0,6.679E9,4.373958354E9,1.0660984213634694E7,6981689.019776852
100,Bulgaria,Europe,6687720.0,9.7798E10,5.3239643485E10,1.4623518927227814E7,7960806.296465761
643,Russia,Europe,1.4444436E8,1.71315E12,1.24602E12,1.1860276164469143E7,8626297.350758452
642,Romania,Europe,1.989281E7,3.12694E11,1.86691E11,1.5718945689422458E7,9384848.093356343
792,Turkey,Europe,8.58162E7,7.14305E11,8.63712E11,8323661.49981006,1.0064673103679726E7
616,Poland,Europe,4.102607E7,7.55645E11,4.71402E11,1.8418654284946132E7,1.1490303604512936E7
348,Hungary,Europe,1.015624E7,2.19463E11,1.25817E11,2.1608685891629186E7,1.2388147582176082E7
