id,countryName,continent,population,IMF_GDP,UN_GDP,IMF_GDP_per_capita,UN_GDP_per_capita
356,India,Asia,1.42862766E9,3.89367E12,2.25964E12,2725.46,1581685.7416858359
156,China,Asia,1.42567135E9,2.18655E13,1.12183E13,15336.97,7868784.064433924
840,United States,North America,3.3999656E8,2.66952E13,1.86245E13,78515.94,5.477849540595352E7
360,Indonesia,Asia,2.7753412E8,1.41075E12,9.32259E11,5083.15,3359078.8764999416
586,Pakistan,Asia,2.4048566E8,0.0,2.82506E11,1174.73,1174731.1669228012
566,Nigeria,Africa,2.2380463E8,5.80121E11,4.04649E11,2592.09,1808045.7048632104
76,Brazil,South America,2.1642245E8,1.98048E12,1.79593E12,9151.01,8298261.109233353
50,Bangladesh,Asia,1.7295432E8,4.38436E11,2.20837E11,2534.98,1276851.5987342785
643,Russia,Europe,1.4444436E8,1.71315E12,1.24602E12,11860.3,8626297.350758452
484,Mexico,North America,1.2845557E8,1.37973E12,1.07691E12,10740.89,8383521.24396007
231,Ethiopia,Africa,1.2652706E8,1.16247E11,7.0314560872E10,918.75,555727.4536529973
392,Japan,Asia,1.2329451E8,5.29135E12,4.93621E12,42916.35,4.0035926984907925E7
608,Philippines,Asia,1.1733737E8,4.45827E11,3.04906E11,3799.53,2598541.2831393783
818,Egypt,Africa,1.127166E8,4.50361E11,2.70144E11,3995.52,2396665.619793358
180,DR Congo,Africa,1.0226281E8,7.1487E10,4.0337492609E10,699.05,394449.28815275076
704,Vietnam,Asia,9.885895E7,4.62644E11,2.05276E11,4679.84,2076453.3711919861
364,Iran,Asia,8.917277E7,1.7826E12,4.25403E11,19990.43,4770548.229016548
792,Turkey,Europe,8.58162E7,7.14305E11,8.63712E11,8323.66,1.0064673103679726E7
276,Germany,Europe,8.329463E7,4.56478E12,3.4778E12,54802.79,4.175299175949278E7
764,Thailand,Asia,7.180128E7,5.56372E11,4.07026E11,7748.78,5668784.734756818
826,United Kingdom,Europe,6.77368E7,3.68694E12,2.6479E12,54430.31,3.909101108998358E7
834,Tanzania,Africa,6.743811E7,8.6152E10,0.0,1277.5,0.0
250,France,Europe,6.475658E7,3.08623E12,2.46545E12,47658.88,3.807257887924285E7
710,South Africa,Africa,6.04145E7,4.4772E11,2.9544E11,7410.8,4890216.752600783
380,Italy,Europe,5.887076E7,2.16938E12,1.85891E12,36849.94,3.1576116904215265E7
404,Kenya,Africa,5.510059E7,1.19127E11,7.0525979046E10,2161.99,1279949.6166193502
104,Myanmar,Asia,5.4578E7,7.3543E10,6.5697616068E10,1347.48,1203738.064201693
170,Colombia,South America,5.208517E7,3.7047E11,2.82463E11,7112.77,5423098.359859438
410,South Korea,Asia,5.178406E7,1.91956E12,1.41125E12,37068.59,2.725259471737056E7
800,Uganda,Africa,4.858233E7,5.01E10,2.5307842467E10,1031.24,520926.89805120503
729,Sudan,Africa,4.810901E7,0.0,8.2887395895E10,1722.91,1722907.9520655277
724,Spain,Europe,4.751963E7,1.51909E12,1.23726E12,31967.63,2.6036818889372665E7
32,Argentina,South America,4.577388E7,5.73633E11,5.45866E11,12531.88,1.1925272666420238E7
12,Algeria,Africa,4.560648E7,1.99382E11,1.59049E11,4371.79,3487421.08577553
368,Iraq,Asia,4.550456E7,2.99409E11,1.60021E11,6579.76,3516592.622805275
4,Afghanistan,Asia,4.223985E7,0.0,2.023506333E10,479.05,479051.49592150544
616,Poland,Europe,4.102607E7,7.55645E11,4.71402E11,18418.66,1.1490303604512936E7
124,Canada,North America,3.878129E7,2.36232E12,1.52976E12,60913.86,3.944582555144504E7
504,Morocco,Africa,3.784004E7,1.42967E11,1.03607E11,3778.19,2738025.64690735
682,Saudi Arabia,Asia,3.694703E7,1.02191E12,6.39617E11,27658.65,1.7311729792624738E7
804,Ukraine,Europe,3.674463E7,0.0,9.3270354852E10,2538.34,2538339.747930514
24,Angola,Africa,3.66842E7,1.33335E11,1.06918E11,3634.67,2914551.768881426
860,Uzbekistan,Asia,3.516394E7,8.1809E10,6.7778902435E10,2326.5,1927511.6052126125
887,Yemen,Asia,3.444983E7,2.9556E10,2.5374086438E10,857.94,736551.8621717436
604,Peru,South America,3.435272E7,2.5796E11,1.9221E11,7509.16,5595190.133415927
458,Malaysia,Asia,3.430853E7,4.81988E11,2.96531E11,14048.64,8643069.230888063
288,Ghana,Africa,3.412199E7,7.8893E10,4.2793869465E10,2312.09,1254143.426716906
508,Mozambique,Africa,3.389735E7,1.9519E10,1.0930131568E10,575.83,322447.9662274485
524,Nepal,Asia,3.089659E7,3.9028E10,2.0914004957E10,1263.18,676903.339721309
450,Madagascar,Africa,3.032573E7,1.5189E10,1.1222263845E10,500.86,370057.5005119415
384,Ivory Coast,Africa,2.887303E7,8.0338E10,3.6767790205E10,2782.46,1273430.2636404978
862,Venezuela,South America,2.88385E7,4.9823E10,2.91376E11,1727.66,1.0103715519184424E7
120,Cameroon,Africa,2.864729E7,4.9518E10,3.2217073816E10,1728.54,1124611.5711468693
562,Niger,Africa,2.720284E7,1.7303E10,7.528285819E9,636.07,276746.31836234743
36,Australia,Oceania,2.643911E7,1.82839E12,1.30446E12,69154.9,4.9338271976628564E7
408,North Korea,Asia,2.616082E7,0.0,1.6788601831E10,641.75,641746.0091465022
158,Taiwan,Asia,2.392328E7,8.92516E11,0.0,37307.43,0.0
